Designator,Footprint,Quantity,Value,LCSC Part #
1V/oct,PinHeader_1x02_P2.54mm_Vertical_Audio_out,1,1V/oct in,
A1,Arduino_Nano,1,Arduino_Nano_v2.x,
Audio Out,PinHeader_1x02_P2.54mm_Vertical_Audio_out,1,Audio out,
"C1, C10, C2, C3, C4, C9",C_Disc_D3.0mm_W1.6mm_P2.50mm,6,10nf,
"C5, C6, C7",CP_Radial_D4.0mm_P2.00mm,3,10uF,
C8,CP_Radial_D4.0mm_P1.50mm,1,0.1uF,
"D1, D2",D_DO-35_SOD27_P7.62mm_Horizontal,2,1N4148,
D3,LED_D5.0mm_Clear,1,LED,
J1,PinHeader_2x08_P2.54mm_Vertical,1,Eurorack power connector,
J4,PinHeader_1x01_P2.54mm_Vertical,1,Batt+ (above 5v),
"R1, R2, R3, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,1k,
"R10, R11, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,5,3.9K,
"R12, R13",R_LDR_5.0x4.1mm_P3mm_Vertical,2,A9013,
R14,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,14K,
R15,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10K,
R16,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,480R,
"R5, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,10R,
"RV1, RV2, RV3, RV4",PinHeader_1x03_P2.54mm_Vertical,4,1k,
U1,DIP-8_W10.16mm,1,TL072,
U2,TO-92,1,L7805,
